date,portid,portname,portcalls,portcalls_container,import,export
2019-01-07,port183,Buenaventura,4,2,12182,0
2019-01-08,port183,Buenaventura,3,2,13562,0
2019-01-09,port183,Buenaventura,5,3,41225,11938
2019-01-10,port183,Buenaventura,6,3,62674,2324
2019-01-11,port183,Buenaventura,4,3,11125,23323
2019-01-12,port183,Buenaventura,3,1,38256,0
2019-01-13,port183,Buenaventura,3,2,1650,9984
2019-01-14,port183,Buenaventura,2,1,36395,0
2019-01-15,port183,Buenaventura,2,0,2509,0
2019-01-16,port183,Buenaventura,3,1,60670,2282
2019-01-17,port183,Buenaventura,7,5,29172,38530
2019-01-18,port183,Buenaventura,4,3,9589,21234
2019-01-19,port183,Buenaventura,4,2,11640,0
2019-01-20,port183,Buenaventura,3,2,14048,1626
2019-01-21,port183,Buenaventura,4,2,8759,6913
2019-01-22,port183,Buenaventura,5,2,112172,1626
2019-01-23,port183,Buenaventura,2,2,19270,1626
2019-01-24,port183,Buenaventura,8,3,140614,2282
2019-01-25,port183,Buenaventura,4,3,13128,76164
2019-01-26,port183,Buenaventura,5,3,42581,1626
2019-01-27,port183,Buenaventura,2,1,16163,0
2019-01-28,port183,Buenaventura,3,2,31028,0
2019-01-29,port183,Buenaventura,4,2,17968,0
2019-01-30,port183,Buenaventura,3,2,10923,9863
2019-01-31,port183,Buenaventura,7,4,11490,81363
2019-02-01,port183,Buenaventura,3,3,6599,23870
2019-02-02,port183,Buenaventura,4,3,49391,0
2019-02-03,port183,Buenaventura,3,1,37509,0
2019-02-04,port183,Buenaventura,4,3,11782,0
2019-02-05,port183,Buenaventura,7,3,101094,9079
2019-02-06,port183,Buenaventura,0,0,0,0
2019-02-07,port183,Buenaventura,6,4,16472,36293
2019-02-08,port183,Buenaventura,4,3,11586,20608
2019-02-09,port183,Buenaventura,5,2,21608,67
2019-02-10,port183,Buenaventura,5,3,45734,0
2019-02-11,port183,Buenaventura,3,2,11125,39622
2019-02-12,port183,Buenaventura,4,2,50206,0
2019-02-13,port183,Buenaventura,3,1,56242,0
2019-02-14,port183,Buenaventura,6,3,21643,7408
2019-02-15,port183,Buenaventura,3,3,10503,2345
2019-02-16,port183,Buenaventura,5,1,39838,7625
2019-02-17,port183,Buenaventura,4,3,82997,0
2019-02-18,port183,Buenaventura,5,3,28656,3001
2019-02-19,port183,Buenaventura,2,1,0,0
2019-02-20,port183,Buenaventura,4,3,6538,20126
2019-02-21,port183,Buenaventura,4,4,15887,14181
2019-02-22,port183,Buenaventura,3,3,8164,14871
2019-02-23,port183,Buenaventura,2,1,21576,0
2019-02-24,port183,Buenaventura,6,4,4678,11664
2019-02-25,port183,Buenaventura,3,1,28730,4564
2019-02-26,port183,Buenaventura,0,0,0,0
2019-02-27,port183,Buenaventura,1,1,11970,0
2019-02-28,port183,Buenaventura,6,4,77439,19591
2019-03-01,port183,Buenaventura,4,4,1375,15153
2019-03-02,port183,Buenaventura,2,1,21453,0
2019-03-03,port183,Buenaventura,3,3,50128,1626
2019-03-04,port183,Buenaventura,0,0,0,0
2019-03-05,port183,Buenaventura,2,1,14890,0
2019-03-06,port183,Buenaventura,5,3,25266,23697
2019-03-07,port183,Buenaventura,6,4,25447,26679
2019-03-08,port183,Buenaventura,6,4,28385,20789
2019-03-09,port183,Buenaventura,2,1,1276,0
2019-03-10,port183,Buenaventura,3,2,31837,0
2019-03-11,port183,Buenaventura,4,2,24525,4990
2019-03-12,port183,Buenaventura,0,0,0,0
